protein_id	split	source	pdb_file	status	ca_residues	sequence_length	structure_sequence_coverage	error
9LE7_2	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_2.pdb	ok	342	352	0.9715909090909091	
9LE7_3	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_3.pdb	ok	66	83	0.7951807228915663	
9LE7_5	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_5.pdb	ok	201	266	0.7556390977443609	
9LE7_6	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_6.pdb	ok	222	243	0.9135802469135802	
9LE7_7	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_7.pdb	ok	201	266	0.7556390977443609	
9LE7_9	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_9.pdb	ok	201	266	0.7556390977443609	
9LE7_A	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_A.pdb	ok	323	352	0.9176136363636364	
9LE7_AA	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_AA.pdb	ok	201	266	0.7556390977443609	
9LE7_Av	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_Av.pdb	ok	59	72	0.8194444444444444	
9LE7_B	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_B.pdb	ok	479	508	0.9429133858267716	
9LE7_BC	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BC.pdb	ok	62	62	1.0	
9LE7_BD	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BD.pdb	ok	323	352	0.9176136363636364	
9LE7_BE	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BE.pdb	ok	479	508	0.9429133858267716	
9LE7_BF	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BF.pdb	ok	432	459	0.9411764705882353	
9LE7_BG	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BG.pdb	ok	342	352	0.9715909090909091	
9LE7_BH	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BH.pdb	ok	66	83	0.7951807228915663	
9LE7_BK	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_BK.pdb	ok	59	72	0.8194444444444444	
9LE7_Bb	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_Bb.pdb	ok	62	62	1.0	
9LE7_C	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_C.pdb	ok	433	459	0.9433551198257081	
9LE7_D	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_D.pdb	ok	342	352	0.9715909090909091	
9LE7_E	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_E.pdb	ok	66	83	0.7951807228915663	
9LE7_H	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_H.pdb	ok	59	72	0.8194444444444444	
9LE7_R	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_R.pdb	ok	323	352	0.9176136363636364	
9LE7_Z	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_Z.pdb	ok	62	62	1.0	
9LE7_a	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_a.pdb	ok	323	352	0.9176136363636364	
9LE7_b	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_b.pdb	ok	479	508	0.9429133858267716	
9LE7_c	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_c.pdb	ok	432	459	0.9411764705882353	
9LE7_d	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_d.pdb	ok	342	352	0.9715909090909091	
9LE7_e	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_e.pdb	ok	66	83	0.7951807228915663	
9LE7_h	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_h.pdb	ok	59	72	0.8194444444444444	
9LE7_v	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_v.pdb	ok	479	508	0.9429133858267716	
9LE7_z	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE7.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE7_z.pdb	ok	62	62	1.0	
9LE8_0	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_0.pdb	ok	222	243	0.9135802469135802	
9LE8_9	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_9.pdb	ok	202	266	0.7593984962406015	
9LE8_AA	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AA.pdb	ok	202	266	0.7593984962406015	
9LE8_AC	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AC.pdb	ok	202	266	0.7593984962406015	
9LE8_AD	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AD.pdb	ok	222	243	0.9135802469135802	
9LE8_AE	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AE.pdb	ok	202	266	0.7593984962406015	
9LE8_AI	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AI.pdb	ok	62	62	1.0	
9LE8_AJ	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AJ.pdb	ok	323	352	0.9176136363636364	
9LE8_AK	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AK.pdb	ok	479	508	0.9429133858267716	
9LE8_AL	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AL.pdb	ok	433	459	0.9433551198257081	
9LE8_AM	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AM.pdb	ok	342	352	0.9715909090909091	
9LE8_AO	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AO.pdb	ok	60	72	0.8333333333333334	
9LE8_AV	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_AV.pdb	ok	62	62	1.0	
9LE8_E	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_E.pdb	ok	64	83	0.7710843373493976	
9LE8_J	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_J.pdb	ok	323	352	0.9176136363636364	
9LE8_O	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_O.pdb	ok	479	508	0.9429133858267716	
9LE8_P	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_P.pdb	ok	433	459	0.9433551198257081	
9LE8_Q	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_Q.pdb	ok	342	352	0.9715909090909091	
9LE8_e	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_e.pdb	ok	64	83	0.7710843373493976	
9LE8_j	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LE8.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LE8_j.pdb	ok	60	72	0.8333333333333334	
9LK4_A	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_A.pdb	ok	332	353	0.9405099150141643	
9LK4_B	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_B.pdb	ok	489	508	0.9625984251968503	
9LK4_C	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_C.pdb	ok	449	473	0.9492600422832981	
9LK4_D	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_D.pdb	ok	339	353	0.9603399433427762	
9LK4_E	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_E.pdb	ok	66	83	0.7951807228915663	
9LK4_G	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_G.pdb	ok	219	267	0.8202247191011236	
9LK4_H	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_H.pdb	ok	59	73	0.8082191780821918	
9LK4_N	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_N.pdb	ok	219	267	0.8202247191011236	
9LK4_O	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_O.pdb	ok	198	332	0.5963855421686747	
9LK4_R	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_R.pdb	ok	222	300	0.74	
9LK4_S	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_S.pdb	ok	221	280	0.7892857142857143	
9LK4_U	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_U.pdb	ok	23	103	0.22330097087378642	
9LK4_W	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_W.pdb	ok	54	133	0.40601503759398494	
9LK4_Y	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_Y.pdb	ok	220	265	0.8301886792452831	
9LK4_Z	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_Z.pdb	ok	61	62	0.9838709677419355	
9LK4_a	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_a.pdb	ok	332	353	0.9405099150141643	
9LK4_b	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_b.pdb	ok	489	508	0.9625984251968503	
9LK4_c	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_c.pdb	ok	449	473	0.9492600422832981	
9LK4_d	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_d.pdb	ok	339	353	0.9603399433427762	
9LK4_e	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_e.pdb	ok	66	83	0.7951807228915663	
9LK4_g	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_g.pdb	ok	219	267	0.8202247191011236	
9LK4_h	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_h.pdb	ok	59	73	0.8082191780821918	
9LK4_n	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_n.pdb	ok	219	267	0.8202247191011236	
9LK4_o	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_o.pdb	ok	198	332	0.5963855421686747	
9LK4_r	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_r.pdb	ok	222	300	0.74	
9LK4_s	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_s.pdb	ok	221	280	0.7892857142857143	
9LK4_u	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_u.pdb	ok	23	103	0.22330097087378642	
9LK4_w	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_w.pdb	ok	54	133	0.40601503759398494	
9LK4_y	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_y.pdb	ok	220	265	0.8301886792452831	
9LK4_z	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK4.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK4_z.pdb	ok	61	62	0.9838709677419355	
9LK5_A	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK5.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK5_A.pdb	ok	335	353	0.9490084985835694	
9LK5_B	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK5.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK5_B.pdb	ok	489	508	0.9625984251968503	
9LK5_C	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK5.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK5_C.pdb	ok	449	473	0.9492600422832981	
9LK5_D	train	/home/ganeshiny.sridharan/dgg/deep-green-GO/preprocessing/data_arc_rebuild_2026_07_14/structure_files/9LK5.cif.gz	/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_benchmark/nominal_30_identity_80_coverage/inputs/structures/train/9LK5_D.pdb	ok	339	353	0.9603399433427762	
